Date,Month,1_Glen Canyon Dam Gage,2_Lees Ferry Gage,3_Little Colorado River Gage,4_Phantom Ranch Gage,5_National Gage,6_Diamond Gage
12-Apr,1,,4.990832675,4.990832675,2.239576759,1.146683738,1.146683738
12-May,2,,4.314998291,4.314998291,3.269141162,2.031255968,2.031255968
12-Jun,3,,4.37612046,4.37612046,3.813074623,1.662763825,1.662763825
12-Jul,4,,1.840256522,1.840256522,5.073420265,0.694710183,0.694710183
12-Aug,5,,0.522816139,0.522816139,3.783906411,1.273186663,1.273186663
12-Sep,6,,1.706992441,1.706992441,1.442515498,1.483835632,0.593249463
12-Oct,7,,2.440457245,2.440457245,1.857454465,1.757536198,0.927339675
12-Nov,8,,2.234966737,2.234966737,1.452962729,1.629023656,0.967442023
12-Dec,9,,1.183112226,1.183112226,0.819745602,0.365458543,0.332390426
13-Jan,10,,1.499657246,1.499657246,0.842720723,0.655847072,0.672662117
13-Feb,11,,3.524198258,3.524198258,1.080161012,0.212741753,0.549140685
13-Mar,12,,5.376348541,5.376348541,1.806002352,0.417831274,1.150712343
13-Apr,13,,4.156772223,4.156772223,1.964482713,1.678810079,1.822217073
13-May,14,,4.2688205,4.2688205,2.90310102,2.095335189,1.962647189
13-Jun,15,,3.473198912,3.473198912,4.845963354,3.088008197,1.537108318
13-Jul,16,,1.016952801,1.016952801,4.339978432,1.305069894,1.77247335
13-Aug,17,,1.621803373,1.621803373,3.000735864,0.715924393,0.926481399
13-Sep,18,,1.663910957,1.663910957,2.219017421,0.848080301,0.690346393
13-Oct,19,,1.819053382,1.819053382,1.724113606,1.669273028,0.927374475
13-Nov,20,,0.945503762,0.945503762,1.38660113,0.717128185,0.717128185
13-Dec,21,,1.277219433,1.277219433,0.738057958,0.794425748,0.794425748
14-Jan,22,,1.004679748,1.004679748,0.692603352,0.460094004,0.460094004
14-Feb,23,,2.473433004,2.473433004,0.528837808,0.1,0.656395276
14-Mar,24,,3.013400853,3.013400853,1.731722934,1.587475,1.095628139
14-Apr,25,,2.636321366,2.636321366,2.45237282,2.110029062,2.04450289
14-May,26,,2.912744624,2.912744624,3.023740127,2.569123507,2.901406681
14-Jun,27,,4.042613321,4.042613321,2.994507996,2.550369202,3.254768574
14-Jul,28,,2.753126111,2.753126111,2.53772547,1.309382323,1.713091436
14-Aug,29,,0.98765652,0.98765652,2.24130863,0.515920917,1.02271373
14-Sep,30,,1.730881677,1.730881677,1.719172823,0.774257991,1.043107893
14-Oct,31,,1.829643587,1.829643587,0.828822946,0.253295666,1.243051813
14-Nov,32,,1.204200225,1.204200225,1.285787269,1.108378435,1.010338731
14-Dec,33,,0.835857506,0.835857506,0.735607818,0.209239147,0.431128836
15-Jan,34,,1.046536523,1.046536523,0.934028457,0.469762789,0.568350345
