Date,Month,1_Glen Canyon Dam Gage,2_Lees Ferry Gage,3_Little Colorado River Gage,4_Phantom Ranch Gage,5_National Gage,6_Diamond Gage
12-Apr,1,9.088151429,9.790697463,10.92880035,10.97275801,12.19264343,13.79222569
12-May,2,9.563611287,10.7843998,12.41296011,12.71630007,14.49085077,16.53526404
12-Jun,3,9.790782369,11.15674306,12.90827559,13.76666078,15.74860908,17.48137139
12-Jul,4,9.946961981,11.02615833,12.5418162,13.88966213,15.69781402,16.69980511
12-Aug,5,10.10287876,11.14381323,12.69716044,14.2293429,15.89411122,16.67940524
12-Sep,6,10.4430634,11.59356945,13.02468924,14.2932523,15.93638381,16.95093315
12-Oct,7,10.23500617,10.74736438,11.66507393,13.71980642,14.87576086,14.36010108
12-Nov,8,10.08761649,10.01815846,10.31543333,11.84595095,12.22912085,11.25297288
12-Dec,9,9.346207437,9.788713038,9.782379033,10.72216569,10.89423558,10.18960349
13-Jan,10,8.027763457,8.210940861,8.195073925,8.886458334,8.939798387,8.360329301
13-Feb,11,7.760665123,7.650232973,7.929317095,8.464635557,8.836641465,8.821041667
13-Mar,12,8.122299623,8.502827923,9.33811828,9.657734565,10.45400635,11.29492261
13-Apr,13,8.515521394,9.342876735,10.5370217,11.07956219,12.35932869,13.57077431
13-May,14,8.953501032,10.03250314,11.50727545,12.52836072,14.262407,15.54394941
13-Jun,15,9.4303041,10.43601563,11.94211112,13.66799233,15.64007393,16.47416667
13-Jul,16,10.0599521,10.96513972,12.46721607,14.88036106,16.65447964,16.7339697
13-Aug,17,10.51720727,11.23538223,12.56907458,15.26938902,16.83470262,16.30453293
13-Sep,18,10.97400083,11.7358908,13.1615783,15.3942827,16.81753608,16.64868036
13-Oct,19,11.37828713,11.42086632,12.08366877,14.98301344,15.77157191,13.93620632
13-Nov,20,10.84182161,11.17708785,11.2002688,13.53547599,13.89139557,11.95526426
13-Dec,21,9.418009196,9.838942742,9.643939852,11.46399,11.35428065,9.417768817
14-Jan,22,8.351836782,8.489585678,8.599863934,10.51410956,10.63533601,8.944986541
14-Feb,23,8.199949477,8.367614086,8.822170996,9.719135085,10.22870078,10.06310383
14-Mar,24,8.63334316,9.014881056,9.840877018,10.47133185,11.34487015,11.93968078
14-Apr,25,9.185156151,9.911659304,11.06011939,11.625221,12.948966,14.15715526
14-May,26,10.09101281,10.97050279,12.45261593,12.8526553,14.4911012,16.26278226
14-Jun,27,11.37929358,12.10673635,13.82343,13.86715939,15.81704201,18.34129167
14-Jul,28,12.47267921,13.40332157,14.89423219,15.31539556,17.07077543,18.94775572
14-Aug,29,13.13717694,13.7728137,14.97529399,15.49963754,16.96916274,18.35220989
14-Sep,30,13.78781553,14.51232986,15.67629861,16.41281174,17.80167633,18.86320139
14-Oct,31,14.10347972,14.22269994,14.78994644,15.9239764,16.66717714,16.49199664
14-Nov,32,13.02612189,13.42226737,13.24629553,14.64176506,14.73526988,13.40923264
14-Dec,33,11.28467905,12.16345488,12.10236076,12.51773823,12.68914427,12.42405242
15-Jan,34,9.787888622,10.10018834,10.12768145,10.62220934,10.79257338,10.49672269
15-Feb,35,9.321403463,9.654316325,10.03462499,9.947007614,10.4627834,11.21623884
15-Mar,36,9.0703523,9.793032596,10.55797043,10.2897879,11.12952412,12.55702957
15-Apr,37,9.037632673,9.817642359,10.93342014,11.2695541,12.54806626,13.90948264
15-May,38,9.574706765,10.1660802,11.36153215,12.09308233,13.53086458,14.67927083
15-Jun,39,10.68347671,11.30089237,12.79626216,13.45068061,15.2217761,16.86834722
15-Jul,40,11.73801524,12.21944893,13.46845598,14.69934134,16.24074927,17.05233535
15-Aug,41,12.66986261,13.29207158,14.61621304,15.65922716,17.18155694,18.17896401
15-Sep,42,13.50351057,13.95873438,15.06001042,15.91809176,17.16542683,17.98180556
15-Oct,43,13.7573517,14.21136761,14.86500336,15.70510831,16.53501927,16.80103159
15-Nov,44,12.58037691,13.09153646,12.92496007,14.24134252,14.26834946,12.96027083
15-Dec,45,10.59002799,11.32956369,11.15349966,12.41312422,12.32473208,10.95763777
16-Jan,46,8.997027079,9.372518481,9.443064516,10.70142137,10.8439701,9.789227151
16-Feb,47,8.575516393,8.719915559,9.076898007,9.807997834,10.20803914,10.04577586
16-Mar,48,8.760412852,9.16169486,9.961165994,10.32124308,11.17349107,11.99234207
16-Apr,49,9.03279511,9.736602964,10.76131424,11.21397312,12.37977868,13.48409028
16-May,50,9.723353103,10.30431788,11.59403226,12.3674477,13.80596752,14.93684476
16-Jun,51,10.88555743,11.5265664,13.02919966,13.85917233,15.63135462,17.09711111
16-Jul,52,11.80359538,12.58959504,13.95112715,15.04114003,16.70862026,17.77123357
16-Aug,53,12.6125272,13.13623859,14.3446866,15.59468987,17.04127554,17.72198655
16-Sep,54,13.39042146,13.77479411,14.67324653,15.48242063,16.6413807,17.36987153
16-Oct,55,13.80186407,13.83992327,14.53531922,15.33085204,16.06627055,16.2862772
16-Nov,56,13.05312542,13.45710664,13.43640055,14.00678888,14.23749496,13.97
16-Dec,57,11.23562332,12.08593614,11.9047483,12.57267849,12.56886632,11.9
17-Jan,58,9.471268601,9.999852151,10.05054436,10.7559291,11.0002369,10.61
17-Feb,59,8.865235373,9.176675978,9.588641726,10.17408604,10.6921203,10.84
17-Mar,60,8.88659375,9.293724799,10.08993279,10.29867913,11.09247114,12.04
17-Apr,61,9.317127525,9.913822923,10.92398438,11.13013004,12.37052588,13.83
17-May,62,9.812876998,10.66836526,12.02504761,12.61329055,14.1216082,15.54
17-Jun,63,10.63456989,11.55863321,13.10461585,13.97452599,15.83354335,17.37
17-Jul,64,11.36610551,12.41670531,13.90612024,15.07393403,16.8445191,18.01
17-Aug,65,11.86509896,12.56897277,13.81744065,15.21762951,16.69916163,17.28
17-Sep,66,12.49476983,13.06215452,14.08025042,15.10588171,16.40278581,17.06
17-Oct,67,12.70543924,13.01144153,13.53976983,14.77828489,15.4449566,15.1
17-Nov,68,12.44750253,12.61977952,12.78294618,13.60554738,13.91238071,13.51
17-Dec,69,11.2156334,11.71415659,11.52019993,11.68844947,11.55740612,11.25
18-Jan,70,9.807823661,10.20111055,10.28726311,10.59424396,10.7480914,10.67
18-Feb,71,9.173021184,9.397425595,9.639438993,9.523622941,9.851609543,10.42
18-Mar,72,9.049024306,9.358765121,9.919254031,9.426321623,10.14083271,11.55
18-Apr,73,9.38859953,10.03206077,11.01695834,10.97769159,12.21279402,13.83
18-May,74,9.948894097,10.79572917,12.10178091,12.50683647,14.09578472,15.73
18-Jun,75,10.30612578,11.64433759,13.13610244,14.65851563,16.53882292,17.39860764
18-Jul,76,10.81940993,12.06370128,13.56809644,15.13902722,16.9484039,17.77848454
18-Aug,77,11.18995075,12.19661217,13.45084202,14.49984981,16.18042825,17.29723755
18-Sep,78,11.82807179,12.72747978,13.88897396,15.06819097,16.38059896,16.97128472
18-Oct,79,12.25489362,12.60170805,13.19818381,13.88199093,14.63687651,14.9589916
