Date,Month,1_Glen Canyon Dam Gage,2_Lees Ferry Gage,3_Little Colorado River Gage,4_Phantom Ranch Gage,5_National Gage,6_Diamond Gage
12-Apr,1,0,2.70538533,5.326120448,26.70808644,36.32202361,94.07356419
12-May,2,0,1.601773399,2.219865093,3.4725345,226.4433634,5.995452918
12-Jun,3,0,2.082971014,2.515524476,4.648719747,707.8040664,7.198319328
12-Jul,4,0,3.70234657,78.4202972,437.5777029,1038.21357,523.0536981
12-Aug,5,0,5.08578869,514.3734866,1985.049239,791.7186523,2251.17336
12-Sep,6,0,0.374841883,145.8342197,1072.541377,1147.749711,1305.43602
12-Oct,7,0,0.586750254,32.84561995,32.3954958,142.7485417,42.05855063
12-Nov,8,0,3.645294325,23.62231173,31.94968641,59.0999664,69.43496868
12-Dec,9,0,1.509996095,6.89177108,7.793872054,80.85843414,16.82781726
13-Jan,10,0,1.361538462,9.175160094,82.30928355,149.3695402,43.85296097
13-Feb,11,0,0.45685155,4.307372754,170.2058625,21.16612795,218.948447
13-Mar,12,0,0.595588235,7.88768556,107.2879032,10.92602985,94.63031324
13-Apr,13,0,0.777024922,3.759103841,15.76361739,14.20375704,19.1784375
13-May,14,0,3.189028481,2.701922428,6.41833782,13.40659951,7.583763587
13-Jun,15,0,1.795852535,4.367226891,7.185694348,52.43979146,16.3706278
13-Jul,16,0,14.14750897,238.4766971,1565.804011,945.3234086,1438.361947
13-Aug,17,0,2.549417637,340.9335914,1409.481126,232.5275399,1514.242988
13-Sep,18,0,5.472495446,958.3879316,2461.375556,313.7073067,3207.085794
13-Oct,19,0,1.457651391,11.48915622,18.45204973,213.6385177,35.93310924
13-Nov,20,0,8.821372719,75.23369376,600.2350544,158.1012843,505.0429418
13-Dec,21,0,1.775967688,9.028158602,39.17085714,223.5259918,173.3395608
14-Jan,22,0,2.039892183,10.37062185,15.93608769,184.5869257,25.29543611
14-Feb,23,0,0.952388116,6.503514019,6.782447605,170.8436492,10.79656844
14-Mar,24,0,0.395399188,6.947445504,236.6294356,30.79979094,240.6471443
14-Apr,25,0,0.564661966,2.566184448,3.633263379,9.415576005,6.13804878
14-May,26,0,0.968849427,7.072883788,3.204293442,13.38470097,9.008821549
14-Jun,27,0,0.46579239,4.353619115,7.333759318,395.9959335,13.00247559
14-Jul,28,0,0.702701778,31.76619337,318.0509415,718.2376057,249.6840149
14-Aug,29,0,0.452937205,226.3329174,845.0143338,134.6609195,656.3476415
14-Sep,30,0,0.226054852,805.8866527,1033.884154,117.2363239,816.69375
14-Oct,31,0,0.281303116,37.28365253,768.8441466,13.56215909,1251.856248
14-Nov,32,0,2.043389592,44.91946097,49.93736952,11.41222781,90.78766505
14-Dec,33,0,1.7854931,9.647602971,240.2694304,240.2694304,239.0095415
15-Jan,34,0,2.772005384,7.481363943,83.64678992,4.341975309,86.67440216
