Date,Month,1_Glen Canyon Dam Gage,2_Lees Ferry Gage,3_Little Colorado River Gage,4_Phantom Ranch Gage,5_National Gage,6_Diamond_Gage
12-Apr,1,0,0,0,0.133,0.207,0.28
12-May,2,0,0,0,0,0,0
12-Jun,3,0,0,0,0,0,0
12-Jul,4,0,0,0.226,0.548,0.564,0.58
12-Aug,5,0,0,0.742,1,1,1
12-Sep,6,0,0,0.433,0.83,0.9,0.966666667
12-Oct,7,0,0,0.098,0.097,0.129,0.129032258
12-Nov,8,0,0,0.1,0.133,0.167,0.166666667
12-Dec,9,0,0,0,0,0,0
13-Jan,10,0,0,0.032,0.161,0.097,0.064516129
13-Feb,11,0,0,0,0.321,0.357,0.428571429
13-Mar,12,0,0,0,0.581,0.581,0.548387097
13-Apr,13,0,0,0,0,0,0.033333333
13-May,14,0,0,0,0,0.194,0
13-Jun,15,0,0,0,0,0.267,0
13-Jul,16,0,0.129,0.645,0.645,0.484,0.709677419
13-Aug,17,0,0,0.484,1,1,1
13-Sep,18,0,0,0.766,1,1,1
13-Oct,19,0,0,0,0.065,0.161,0.193548387
13-Nov,20,0,0,0.3,0.466,0.433,0.4
13-Dec,21,0,0,0,0.194,0.258,0.322580645
14-Jan,22,0,0,0,0,0.065,0.096774194
14-Feb,23,0,0,0,0,0,0
14-Mar,24,0,0,0.032,0.484,0.484,0.451612903
14-Apr,25,0,0,0,0,0,0
14-May,26,0,0,0,0,0,0
14-Jun,27,0,0,0,0,0,0
14-Jul,28,0,0,0.16,0.709,0.709,0.677419355
14-Aug,29,0,0,0.516,1,0.968,0.967741935
14-Sep,30,0,0,0.467,0.733,0.833,0.933333333
14-Oct,31,0,0,0.129,0.709,0.774,0.838709677
14-Nov,32,0,0,0.167,0.2,0.233,0.233333333
14-Dec,33,0,0,0,0.677,0.677,0.741935484
15-Jan,34,0,0,0,0.29,0.387,0.258064516
15-Feb,35,0,0,0.056,0.429,0.821,0.464285714
15-Mar,36,0,0,0.355,0.516,0.613,0.64516129
15-Apr,37,0,0,0,0,0,0
15-May,38,0,0,0.097,0.161,0.129,0.096774194
15-Jun,39,0,0,0.433,0.4,0.4,0.466666667
15-Jul,40,0,0,0.258,0.839,0.935,0.935483871
15-Aug,41,0,0,0.58,0.806,0.87,0.903225806
15-Sep,42,0,0,0.3,0.733,0.8,0.833333333
15-Oct,43,0,0,0.484,0.839,0.806,0.806451613
15-Nov,44,0,0,0.067,0.7,0.833,0.933333333
15-Dec,45,0,0,0.065,0.161,0.613,0.806451613
16-Jan,46,0,0,0,0.194,0.452,0.548387097
16-Feb,47,0,0,0.034,0.655,0.793,0.75862069
16-Mar,48,0,0,0,0.032,0.065,0.129032258
16-Apr,49,0,0,0.055,0.033,0.053,0.033333333
16-May,50,0,0,0,0.065,0,0.064516129
16-Jun,51,0,0,0,0,0,0
16-Jul,52,0,0,0.161,0.323,0.323,0.419354839
16-Aug,53,0,0,0.645,0.968,0.968,1
16-Sep,54,0,0,0.467,0.5,0.6,0.633333333
16-Oct,55,0,0,0.258,0.581,0.613,0.64516129
16-Nov,56,0,0,0.267,0.6,0.7,0.766666667
16-Dec,57,0,0,0.065,0.323,0.355,0.451612903
17-Jan,58,0,0,0.323,0.613,1,1
17-Feb,59,0,0,0.321,0.857,0.821,0.821428571
17-Mar,60,0,0,0,0.935,0.935,0.967741935
17-Apr,61,0,0,0.33,0.167,0.2,0.266666667
17-May,62,0,0,0,0,0,0
17-Jun,63,0,0,0,0,0,0
17-Jul,64,0,0,0.355,0.452,0.419,0.387096774
17-Aug,65,0,0,0.419,0.839,0.903,0.935483871
17-Sep,66,0,0,0.167,0.233,0.2,0.2
17-Oct,67,0,0,0,0.226,0.323,0.322580645
17-Nov,68,0,0,0,0,0,0
17-Dec,69,0,0,0,0,0,0
18-Jan,70,0,0,0,0,0,0
18-Feb,71,0,0,0,0,0,0
18-Mar,72,0,0,0,0,0,0
18-Apr,73,0,0,0,0.033,0.033,0.033
18-May,74,0,0,0,0,0,0
18-Jun,75,0,0,0,0,0,0
18-Jul,76,0,0,0.58,0.709,0.677,0.64516129
18-Aug,77,0,0,0.548,0.774,0.903,0.967741935
18-Sep,78,0,0,0.067,0.667,0.767,0.766666667
18-Oct,79,0,0,0.548,0.928,0.897,0.903225806
