PITTAG,Trip_ID.1,Date.1,month_name,Month.1,River_Code,RMILE.1,RKM.1,Species_Code,Length.1,Weight.1,Reach.1,Season.1,Year.1,Trip_ID.2,Date.2,Date.2,Month.2,RMILE.2,RKM.2,Length.2,Weight.2,Reach.2,Season.2,Year.2,Difference_Weight,Difference_Length,Difference_Date,Difference_RKM,Difference_Reach,Delta_T,Delta_T_Squared
384.1B796BB5FF,GC20120419,4/24/2012,4/2012,1,COR,40.73440352,89.696,FMS,448,NA,2_Lees Ferry Gage,Spring,2012,GC20150623,6/29/2015,15-Jun,39,41.58940864,91.072,469,844,1,Summer,2015,NA,21,1161,1.376,0,38,1444
384.1B796A4586,GC20120419,4/24/2012,4/2012,1,COR,40.73440352,89.696,FMS,430,NA,2_Lees Ferry Gage,Spring,2012,GC20170819,8/20/2017,17-Aug,65,36.3003072,82.56,479,NA,1,Summer,2017,NA,49,1944,-7.136,0,64,4096
384.1B796C5DD7,GC20120419,4/26/2012,4/2012,1,COR,63.85930944,126.912,FMS,462,911,3_Little Colorado River Gage,Spring,2012,GC20120419,4/26/2012,12-Apr,1,63.85930944,126.912,463,NA,2,Spring,2012,NA,1,0,0,0,0,0
384.1B796C5D4D,GC20120419,4/26/2012,4/2012,1,COR,64.45582464,127.872,FMS,298,NA,3_Little Colorado River Gage,Spring,2012,GC20120419,4/26/2012,12-Apr,1,64.45582464,127.872,299,243,2,Spring,2012,NA,1,0,0,0,0,0
384.1B796C5DD8,GC20120419,4/26/2012,4/2012,1,COR,64.55524384,128.032,FMS,173,62.7,3_Little Colorado River Gage,Spring,2012,GC20120705,7/14/2012,12-Jul,4,63.99849632,127.136,203,93,2,Summer,2012,30.3,30,79,-0.896,0,3,9
384.1B796CAAAE,GC20120419,4/26/2012,4/2012,1,COR,64.34646352,127.696,FMS,362,504,3_Little Colorado River Gage,Spring,2012,GC20120913,9/28/2012,12-Sep,6,64.45582464,127.872,372,538,2,Fall,2012,34,10,155,0.176,0,5,25
384.1B796F9FEB,GC20120419,4/27/2012,4/2012,1,COR,60.62818544,121.712,FMS,219,NA,2_Lees Ferry Gage,Spring,2012,GC20140911,9/17/2014,14-Sep,30,60.51882432,121.536,370,427,1,Fall,2014,NA,151,873,-0.176,0,29,841
384.1B796FA3D9,GC20120419,4/30/2012,4/2012,1,COR,64.82367568,128.464,FMS,420,NA,3_Little Colorado River Gage,Spring,2012,GC20120705,7/17/2012,12-Jul,4,64.50553424,127.952,413,NA,2,Summer,2012,NA,-7,78,-0.512,0,3,9
384.36F2B25002,GC20120511,5/14/2012,5/2012,2,COR,61.055688,122.4,FMS,427,NA,2_Lees Ferry Gage,Spring,2012,GC20150910,9/15/2015,15-Sep,42,39.7302696,88.08,449,826,1,Fall,2015,NA,22,1219,-34.32,0,40,1600
384.36F2B24FEF,GC20120511,5/14/2012,5/2012,2,COR,61.055688,122.4,FMS,413,NA,2_Lees Ferry Gage,Spring,2012,GC20160827,8/28/2016,16-Aug,53,35.39559248,81.104,475,NA,1,Summer,2016,NA,62,1567,-41.296,0,51,2601
